-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us     706.635ms       100.00%     706.635ms     706.635ms             1  
                                        model_inference         0.18%       1.279ms       100.00%     710.770ms     710.770ms       0.000us         0.00%       8.000us       8.000us             1  
                                           aten::linear         0.01%      68.000us        99.82%     709.473ms     709.473ms       0.000us         0.00%       8.000us       8.000us             1  
                                            aten::addmm        97.46%     692.731ms        99.79%     709.317ms     709.317ms       8.000us         0.00%       8.000us       8.000us             1  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       3.000us             1  
void reduce_1Block_kernel<float, 128, 7, cublasGemvT...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       3.000us             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.00%       2.000us       2.000us             1  
                                                aten::t         0.01%      68.000us         0.01%      88.000us      88.000us       0.000us         0.00%       0.000us       0.000us             1  
                                        aten::transpose         0.00%      18.000us         0.00%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.00%       4.000us         0.00%       4.000us       2.000us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::expand         0.00%      10.000us         0.00%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         0.01%      60.000us         0.01%      60.000us      20.000us       0.000us         0.00%       0.000us       0.000us             3  
                                               cudaFree         2.26%      16.065ms         2.26%      16.065ms       8.033ms       0.000us         0.00%       0.000us       0.000us             2  
                                 cudaDeviceGetAttribute         0.00%       1.000us         0.00%       1.000us       0.067us       0.000us         0.00%       0.000us       0.000us            15  
                                   cudaGetSymbolAddress         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us             1  
                                             cudaMalloc         0.06%     433.000us         0.06%     433.000us     108.250us       0.000us         0.00%       0.000us       0.000us             4  
                                  cudaStreamIsCapturing         0.00%       7.000us         0.00%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%       8.000us         0.00%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.00%       6.000us         0.00%      18.000us      18.000us       0.000us         0.00%       0.000us       0.000us             1  
                                                 detach         0.00%      12.000us         0.00%      12.000us      12.000us       0.000us         0.00%       0.000us       0.000us             1  
