-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         4.64%     982.000us        99.97%      21.162ms      21.162ms       0.000us         0.00%       7.000us       7.000us             1  
                                           aten::linear         0.18%      38.000us        95.26%      20.165ms      20.165ms       0.000us         0.00%       7.000us       7.000us             1  
                                            aten::addmm        18.61%       3.940ms        94.76%      20.060ms      20.060ms       7.000us        50.00%       7.000us       7.000us             1  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 14, 15, ...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        50.00%       7.000us       7.000us             1  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us        50.00%       7.000us       7.000us             1  
                                                aten::t         0.22%      47.000us         0.32%      67.000us      67.000us       0.000us         0.00%       0.000us       0.000us             1  
                                        aten::transpose         0.07%      14.000us         0.09%      20.000us      20.000us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.03%       6.000us         0.03%       6.000us       6.000us       0.000us         0.00%       0.000us       0.000us             1  
                                               cudaFree        58.68%      12.422ms        58.68%      12.422ms       6.211ms       0.000us         0.00%       0.000us       0.000us             2  
                                 cudaDeviceGetAttribute         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us            15  
                                   cudaGetSymbolAddress         0.75%     159.000us         0.75%     159.000us     159.000us       0.000us         0.00%       0.000us       0.000us             1  
                                             cudaMalloc         3.95%     836.000us         3.95%     836.000us     209.000us       0.000us         0.00%       0.000us       0.000us             4  
                                  cudaStreamIsCapturing         0.01%       3.000us         0.01%       3.000us       3.000us       0.000us         0.00%       0.000us       0.000us             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...        12.64%       2.675ms        12.64%       2.675ms       2.675ms       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         0.12%      25.000us         0.12%      25.000us      25.000us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::detach         0.02%       5.000us         0.07%      15.000us      15.000us       0.000us         0.00%       0.000us       0.000us             1  
                                                 detach         0.05%      10.000us         0.05%      10.000us      10.000us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.03%       7.000us         0.03%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.169ms
Self CUDA time total: 14.000us

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
