-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         0.00%       0.000us         0.00%       0.000us       0.000us     714.752ms       100.00%     714.752ms     714.752ms             1  
                                        model_inference         0.06%     434.000us       100.00%     718.174ms     718.174ms       0.000us         0.00%       9.000us       9.000us             1  
                                           aten::linear         0.02%     127.000us        99.94%     717.740ms     717.740ms       0.000us         0.00%       9.000us       9.000us             1  
                                            aten::addmm        97.49%     700.147ms        99.91%     717.510ms     717.510ms       9.000us         0.00%       9.000us       9.000us             1  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.00%       4.000us       4.000us             1  
void reduce_1Block_kernel<float, 128, 7, cublasGemvT...         0.00%       0.000us         0.00%       0.000us       0.000us       3.000us         0.00%       3.000us       3.000us             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.000us         0.00%       2.000us       2.000us             1  
                                                aten::t         0.01%      80.000us         0.01%     103.000us     103.000us       0.000us         0.00%       0.000us       0.000us             1  
                                        aten::transpose         0.00%      19.000us         0.00%      23.000us      23.000us       0.000us         0.00%       0.000us       0.000us             1  
                                       aten::as_strided         0.00%       5.000us         0.00%       5.000us       2.500us       0.000us         0.00%       0.000us       0.000us             2  
                                           aten::expand         0.00%      10.000us         0.00%      11.000us      11.000us       0.000us         0.00%       0.000us       0.000us             1  
                                       cudaLaunchKernel         0.01%      59.000us         0.01%      59.000us      19.667us       0.000us         0.00%       0.000us       0.000us             3  
                                               cudaFree         2.34%      16.819ms         2.34%      16.819ms       8.409ms       0.000us         0.00%       0.000us       0.000us             2  
                                 cudaDeviceGetAttribute         0.00%       2.000us         0.00%       2.000us       0.143us       0.000us         0.00%       0.000us       0.000us            14  
                                   cudaGetSymbolAddress         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us             1  
                                             cudaMalloc         0.06%     456.000us         0.06%     456.000us     114.000us       0.000us         0.00%       0.000us       0.000us             4  
                                  cudaStreamIsCapturing         0.00%       8.000us         0.00%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us             1  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%       8.000us         0.00%       8.000us       8.000us       0.000us         0.00%       0.000us       0.000us             1  
                                  cudaDeviceSynchronize         0.00%       7.000us         0.00%       7.000us       7.000us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 718.181ms
Self CUDA time total: 714.761ms

